Model	LOGO	Transcription factor	Model length	Quality	TF family	EntrezGene	UniProt ID
AHR_HUMAN.H11MO.0.B		AHR	9	B	PAS domain factors{1.2.5}	196	AHR_HUMAN
AIRE_HUMAN.H11MO.0.C		AIRE	18	C	AIRE{5.3.1}	326	AIRE_HUMAN
ALX1_HUMAN.H11MO.0.B		ALX1	12	B	Paired-related HD factors{3.1.3}	8092	ALX1_HUMAN
ANDR_HUMAN.H11MO.0.A		AR	18	A	Steroid hormone receptors (NR3){2.1.1}	367	ANDR_HUMAN
AP2A_HUMAN.H11MO.0.A		TFAP2A	15	A	AP-2{1.3.1}	7020	AP2A_HUMAN
AP2B_HUMAN.H11MO.0.B		TFAP2B	10	B	AP-2{1.3.1}	7021	AP2B_HUMAN
AP2C_HUMAN.H11MO.0.A		TFAP2C	14	A	AP-2{1.3.1}	7022	AP2C_HUMAN
ARI5B_HUMAN.H11MO.0.C		ARID5B	13	C	ARID-related factors{3.7.1}	84159	ARI5B_HUMAN
ARNT_HUMAN.H11MO.0.B		ARNT	9	B	PAS domain factors{1.2.5}	405	ARNT_HUMAN
ASCL1_HUMAN.H11MO.0.A		ASCL1	14	A	MyoD / ASC-related factors{1.2.2}	429	ASCL1_HUMAN
ATF1_HUMAN.H11MO.0.B		ATF1	11	B	CREB-related factors{1.1.7}	466	ATF1_HUMAN
ATF2_HUMAN.H11MO.0.B		ATF2	11	B	Jun-related factors{1.1.1}	1386	ATF2_HUMAN
ATF3_HUMAN.H11MO.0.A		ATF3	11	A	Fos-related factors{1.1.2}	467	ATF3_HUMAN
ATF4_HUMAN.H11MO.0.A		ATF4	12	A	ATF-4-related factors{1.1.6}	468	ATF4_HUMAN
ATF6A_HUMAN.H11MO.0.B		ATF6	12	B	CREB-related factors{1.1.7}	22926	ATF6A_HUMAN
ATOH1_HUMAN.H11MO.0.B		ATOH1	9	B	Tal-related factors{1.2.3}	474	ATOH1_HUMAN
BACH1_HUMAN.H11MO.0.A		BACH1	13	A	Jun-related factors{1.1.1}	571	BACH1_HUMAN
BACH2_HUMAN.H11MO.0.A		BACH2	11	A	Jun-related factors{1.1.1}	60468	BACH2_HUMAN
BATF3_HUMAN.H11MO.0.B		BATF3	17	B	B-ATF-related factors{1.1.4}	55509	BATF3_HUMAN
BATF_HUMAN.H11MO.0.A		BATF	18	A	B-ATF-related factors{1.1.4}	10538	BATF_HUMAN
BC11A_HUMAN.H11MO.0.A		BCL11A	17	A	Factors with multiple dispersed zinc fingers{2.3.4}	53335	BC11A_HUMAN
BCL6_HUMAN.H11MO.0.A		BCL6	13	A	More than 3 adjacent zinc finger factors{2.3.3}	604	BCL6_HUMAN
BHA15_HUMAN.H11MO.0.B		BHLHA15	11	B	Tal-related factors{1.2.3}	168620	BHA15_HUMAN
BHE40_HUMAN.H11MO.0.A		BHLHE40	10	A	Hairy-related factors{1.2.4}	8553	BHE40_HUMAN
BMAL1_HUMAN.H11MO.0.A		ARNTL	11	A	PAS domain factors{1.2.5}	406	BMAL1_HUMAN
